X,Bintang,Pengguna,Komen,Tanggal
18,Diberi rating 5 bintang dari 5 bintang Diberi,ara bungaran,Sy sudah mengajukan kartu kredit lewat APP ini dan hasilnya memuaskan. Kita dituntun sampai benar2 mendapatkan yg kita daftarkan bisa dibilang tingkat kinerja mereka mengalahkan tingkat kinerja pelayanan perbankan . Makasih layanannya ya.,12/11/2019
19,Diberi rating 1 bintang dari 5 bintang Diberi,agam van zoel,"Not friendly Aps,terlalu banyak kolom yg diisi,data yg telah diisi juga tidak bisa dihapus, nomor hp customer servicenya entah dimana.",02/28/2020
20,Diberi rating 5 bintang dari 5 bintang Diberi,Alvia Aprinaya,"Ni sy kasih bintang 5 sekaligus Mohon maaf...ko segitu lamanya y pengajuan KTA sy, udah lama ko belum ada info juga...bisa di acc g si, kalo g bisa tlg info dong biar g terlalu lama ngarep.",02/03/2020
21,Diberi rating 1 bintang dari 5 bintang Diberi,Muhammad Bambang,"dari semua pengajuan saya lewat cermati, dari mulai pengajuan kartu kredit sampe pengajuan KTA, hanya pengajuan yg pertama aja yg ada klarifikasi, itu pun d tolak, pengajuan saya yang selanjutnya ga ada kejelasan sama sekali sampe skrang, ,",12/22/2019
22,Diberi rating 5 bintang dari 5 bintang Diberi,KK C,"Apan nih gak jelas konfirmasi gak ada , customer servis gak ada tetus tanya ke siapa saya ?? TEMBOOOOOKKK?????",03/01/2020
23,Diberi rating 5 bintang dari 5 bintang Diberi,HAYTONY HAYRUDYN,"Saya mengajukan mulai tgl 11 januari 2020 yg lalu jumlah pinjaman 1.000.000 tenor 3 bulan ,aplikasinya msh di branda hp saya tetapi msh aja menunggu persetujuan ,lama amat BOY, masa iya mau nunggu di setujui ampe jembut memutih...!!!",01/25/2020
24,Diberi rating 1 bintang dari 5 bintang Diberi,memed samsuri,"apk yg sangat baik dari semua apk terbaik,saking keren nya nih apk,sya ngajuin di 4 bank,udh pir 2 blan gak ad kejelasan..padahal apk2 gak penting kya gini mending di hpus aj,percuma ,cuma buat orng berharap doank...",02/14/2020
25,Diberi rating 5 bintang dari 5 bintang Diberi,Salimah Imah,"Saya ksh bintg 5,,kartu 💳 saya ko blm di kirim "" ya, kt nya 14 hr krj,, ini ud sebulan lho,, tlng dong,, jgn bikin kecewa,, customer",02/28/2020
26,Diberi rating 5 bintang dari 5 bintang Diberi,Afandi Permana,Sy akan mencoba pengajuan di app cermati. Smg aj pengajuan sy di setujui.. Sy akan membayar tepat pada waktu nya. Insyaallah,02/28/2020
27,Diberi rating 3 bintang dari 5 bintang Diberi,Rahmawati putri,Selamat sore cermati ini kok saya mau telpon ke no telpon yg tertera kok ga bisa ya Tadi ada yg telpon apa itu dari cermati apa tidak Soalnya saya lagi pengajuan kta di permata bank saya ingin tau ajh pengajuan saya di acc apa engak,02/14/2020
28,Diberi rating 1 bintang dari 5 bintang Diberi,Wartini 0702,Pengajuan kartu kredit tidak ada kejelasan sudah 2 bulan.. Tolong konfirmasi jika memang ditolak dan datanya dihapus aja..,03/01/2020
29,Diberi rating 1 bintang dari 5 bintang Diberi,Theresia Pillot,Kenapa tidak ada pemberitahuan apapun padahal sufah melakukan pengajuan dan di hubUhhngi pihak2 anda melalui telfon dan email. Tolong kejelasannya,02/18/2020
30,Diberi rating 1 bintang dari 5 bintang Diberi,ilham gunawan,"Aplikasi bangke...data udh diambil SM sales-nya mau dikasih ke bank ini bank itu katanya, pas ditanya gimana ada yg di ACC ga pinjamannya, kaga ada balesan...bangsat nyuri data doank...",01/10/2020
31,Diberi rating 5 bintang dari 5 bintang Diberi,Azefri Yanto,"Nasib pengajuan saya gimana ini, MASIH MENUNGGU PERSETUJUAN INSTANSI TERKAIT trus, udah hampir sebulan ini bosku,, di telpon sudah hampir berkali, tapi masih aja menunggu... Tolong di bantu bosku...",12/12/2019
32,Diberi rating 1 bintang dari 5 bintang Diberi,aswanto /sias,"sangat kecewa sama aplikasi ini,, sudah berbulan bulan aku ngajuin kartu kredit tapi tak pernah kau acc, sekarang aku minta kau batalkan pengajuan aku sekarang soal kartu kredit Oke.. aku udah capek nunggu...",01/28/2020
33,Diberi rating 5 bintang dari 5 bintang Diberi,fendidwisaputro muncus,minta tolong bpk/ibu di bantu data saya untuk di acc di karenakan saya butuh banget......terima kasih...,02/18/2020
34,Diberi rating 5 bintang dari 5 bintang Diberi,Wijaya Putra,Smoga bisa benar benar membantu wirausaha yg butuh tambahan modal..agar sama sama berkembang dan maju..dan saling menjaga kepercayaan..,01/12/2020
35,Diberi rating 1 bintang dari 5 bintang Diberi,Icih Margaret,Maaf saya tidak prnh minjem diaplikasi ini dan saya tdk prnh menerima uang diaplikasi ini. Apa apan ada tagihan ke saya atas nama lena nurcahya tolong hapus data saya jangan menyalah gunakan data orang lain,02/10/2020
36,Diberi rating 5 bintang dari 5 bintang Diberi,Azydh Azydhsuhri,Udah ampir seminggu gan klo gak bisa di acc nya langsung di info kan dong keterangan nya katanya cuman 3 hari langsung cair dana nya ini udah seminggu gak ada kabar2 nya,02/15/2020
37,Diberi rating 5 bintang dari 5 bintang Diberi,Ray ahmad Risky,"Lengkap, bagus, akurasi data relevan. Merasa nyaman dngn app ini. 1 touch, all conect.. .",02/19/2020
38,Diberi rating 1 bintang dari 5 bintang Diberi,Sahrul Cahya,Ko pengajuan KTA saya ke paninbank belum jelas satatus nya ya. Padahal sudah 1bln... Data saya sudah lengkap tunggu validasi Mau tanya sampe mana ya progres nya???,01/13/2020
39,Diberi rating 1 bintang dari 5 bintang Diberi,Taufiq 23,"udah nunggu lama lama, malah proses validasi terus !! awas aja ya kalo data gw d pake yg gk bner. !!",02/04/2020
40,Diberi rating 5 bintang dari 5 bintang Diberi,hanzone jassminezz,Luar biasa sangat membantu... Semoga bisa semaksimal mungkin membantu nasabah/orang yg membutuhkan pertolongan dalam financialnya sampai ter acc...,02/15/2020
41,Diberi rating 1 bintang dari 5 bintang Diberi,Abdul Wahid Wahid,"Pengajuan smunya gagal data,sudah lengkap,dan sudah di sertifikasi tapi 1000 alasan gk jelas...tidalk memenuhi syarat,,sangat kecewa dan tidak ingin pengajuan menerima penawaran lagi",01/24/2020
42,Diberi rating 5 bintang dari 5 bintang Diberi,kicau mania loos,"Bagus sangat membantu.cman sayang,yg kerja sama kurang baik analisisnya..dan hasilnya tidak bakalan di acc.",02/05/2020
43,Diberi rating 1 bintang dari 5 bintang Diberi,Himam Fadeli,"Aplikasi gak ada gunanya, hanya ambil data, dijanjiin maksimal 14 hari... Tapi ini lebih dari 14 hari... Tolong duit saya dikembalikan saja",02/11/2020
44,Diberi rating 1 bintang dari 5 bintang Diberi,dhamaer wulanridansyah,ass. pihak cermati sy sdh mengajukan pinjaman ttp knp sampai skrg tidak ada kelnjutan sdgkn data sy sdh lgkp... n klo mmg tidak d setujui tlg data sy d hpus n jgn sampai d salah gunakan,12/15/2019
45,Diberi rating 4 bintang dari 5 bintang Diberi,Dwi Utami Putri,"Keterangan aplikasi sudah lengkap, menunggu proses validasi. Lama banget yaa. Mohon kepastiannya dong, di acc atau tidak. Biar ngga nunggu-nunggu juga.",12/05/2019
46,Diberi rating 5 bintang dari 5 bintang Diberi,ria satria,"Kok lama banget yah konfirmasi pinjaman'a... Udah mau 2 hari tapi ga ada konfirmasi apa""",02/22/2020
47,Diberi rating 5 bintang dari 5 bintang Diberi,wilson hutabarat,Aplikasi yg menolong saya untuk masuk ke bank yg saya butuhkan didalam bisnis jangka panjang termasuk bisnis brilink saya.tks cermati,02/28/2020
48,Diberi rating 5 bintang dari 5 bintang Diberi,Budi,"Aplikasi sangat membantu untuk mengajukan pinjaman yg sipatnya mendesak, semoga.rekomendasi dari apk ini bisa terus membantu bagi yg membutuhkan, selalu succes selamanya bwt Cermati..",01/06/2020
49,Diberi rating 3 bintang dari 5 bintang Diberi,Andrie Nastiti,Review nya selesai semua tp begitu di kirim data gak komplit...klo kita cuma karyawan biasa yg gak punya npwp gmn?....apa sy uninstal aja ya?,01/03/2020
50,Diberi rating 4 bintang dari 5 bintang Diberi,Alby Altarikh,trnyata bnyak yg mengeluh ulasan y saya mau nulis apa juga bingung krna saya sndiri masih menunggu bgmn ini dri pihak terkait tolong donk direspon.trima kasih,02/14/2020
51,Diberi rating 4 bintang dari 5 bintang Diberi,"Junairi Marwin, ST",Bagaimana cara mèlèngkapi aplikasi yang belum lengkap? Trims Cermati memang OK.,02/27/2020
52,Diberi rating 2 bintang dari 5 bintang Diberi,Faad addawiel,"Saya melakukan pinjaman , tapi belum ada respon sampai sekarang , saya mengajukan pinjaman di bank CIMB NIAGA extra dana? Tolong di respon",01/03/2020
53,Diberi rating 1 bintang dari 5 bintang Diberi,Mahfudin Mahfudin,"Seharus nya tdk saya kasih bintang, saya ngajuin sudh lebih dari 1 buln sampai skrng blum ada keputusan nya.di tolak apa tdk nya, tolong hapus data saya",01/12/2020
54,Diberi rating 5 bintang dari 5 bintang Diberi,Dewi kania Kania,Proses cepat ga ribet yg penting tepat waktu pembayaran semoga nasabah nya banyak yang terpenting jujur tepat waktu bayar semoga Cermat semakin jaya & sukses aminnn y robal alaminnn..,02/09/2020
55,Diberi rating 5 bintang dari 5 bintang Diberi,Kafka Nafiska,selalu sukses dan berjaya Cermati...saya sudah mengajuan pinjamantgl menunggu proses validasi...semoga ALLAH SWT menyesetujui pinjaman dana dari Cermati....AMIIIIIN,02/03/2020
56,Diberi rating 1 bintang dari 5 bintang Diberi,Ms Budi,Aplikasi pembohong ini... Ngajuin beli pulsa aja di tolak...mlh ada email masuk tagihan beli pulsa suruh bayar...pemerasan ini nama nya,01/28/2020
57,Diberi rating 5 bintang dari 5 bintang Diberi,Yosef Windu,aplikasi yang sangat membantu dalam memberikan informasi finansial dalam mengatasi masalah financial,02/22/2020
58,Diberi rating 1 bintang dari 5 bintang Diberi,Jay Rangga,"mana blum juga di acc tolong di apus aja data sy,,,,aplikasi hoax .masa dah 5 hari masih proses aja,,,",02/11/2020
59,Diberi rating 5 bintang dari 5 bintang Diberi,arie gunawan,"Semoga di acc pengajuannya,dan tambah sukses dan tambah maju kedepannya bermanfaat buat yg membutuhkan,mutu adalah kepuasan pelanggan,👍",01/12/2020
60,Diberi rating 5 bintang dari 5 bintang Diberi,Muh Arief Rachman,Tolong perluas lagi wilayahnya.. Biar keliatan kalau kita ini benar2 NKRI yang tidak dibatasi oleh wilayah/domisili. Terimah kasih.,12/18/2019
